feature,mean_importance,std
AGE,0.10793650793650791,0.05888011743171876
spiral_MRT,0.0357142857142857,0.03924360417484482
meander_MRT,0.026984126984126965,0.025888105444920786
meander_MIN_BETWEEN_ET_HT,0.023015873015873038,0.023395877734894748
spiral_STD_HT,0.02222222222222221,0.034191522584980975
meander_STD_HT,0.02063492063492063,0.031185528102203968
spiral_MAX_HT,0.014285714285714264,0.020015111449076948
spiral_RMS,0.008730158730158722,0.017905578051870596
meander_MAX_BETWEEN_ET_HT,0.00793650793650793,0.017746571249998327
RIGHT_HANDED,0.00714285714285714,0.021428571428571422
spiral_MIN_BETWEEN_ET_HT,0.005555555555555558,0.01465570262906302
spiral_MIN_HT,0.0047619047619047675,0.014285714285714304
meander_MIN_HT,0.003968253968253954,0.008873285624999134
spiral_MAX_BETWEEN_ET_HT,0.0023809523809523725,0.007142857142857117
meander_CHANGES_FROM_NEGATIVE_TO_POSITIVE_BETWEEN_ET_HT,0.0023809523809523725,0.007142857142857117
GENDER,0.0,0.0
meander_STD_DEVIATION_ET_HT,0.0,0.0
spiral_CHANGES_FROM_NEGATIVE_TO_POSITIVE_BETWEEN_ET_HT,0.0,0.0
meander_RMS,0.0,0.0
meander_MAX_HT,0.0,0.0
spiral_STD_DEVIATION_ET_HT,0.0,0.0
